E_AGE,E_SEX,A11,A12,A13,A14,A15,A16,A17,A18,G124,G125,G126,W2B19,W2B20,W2B21,W2B22,W2B23,W2B24,W2B25,W2B26,W2B27,W2B28,W2E87,W2E88,W2E89,FW,JS,W2JS,W2SD,freewill,filter_$,personalagency
38,1,5,5,5,5,5,5,3,5,7,7,7,1,1,0,2,2,0,1,0,0,0,5,5,6,4.75,7,5.33333333333333,1.5,4.75,1,5
34,1,5,5,5,2,5,5,1,5,4,4,3,1,1,1,2,0,1,1,0,0,0,4,4,5,4.125,3.66666666666667,4.33333333333333,1,4.125,1,5
31,1,3,4,4,3,4,4,3,3,4,4,4,1,1,1,2,2,1,0,0,2,2,5,6,6,3.5,4,5.66666666666667,1,3.5,1,3.5
35,1,4,5,5,3,4,5,4,4,5,5,5,0,1,1,2,2,1,0,0,0,2,5,4,4,4.25,5,4.33333333333333,1.25,4.25,1,4.5
32,0,5,4,4,3,4,4,3,3,5,4,4,1,1,1,2,0,1,0,0,2,2,4,4,4,3.75,4.33333333333333,4,1,3.75,1,4
31,1,5,4,5,2,4,4,2,5,5,5,5, , , , , , , , , , , , , ,3.875,5, , ,3.875,0,4.75
31,1,5,5,5,4,5,5,2,5,7,7,7,1,1,1,2,2,1,1,1,2,2,6,6,6,4.5,7,6,1,4.5,1,5
27,0,4,4,4,3,4,4,3,4,5,5,5, , , , , , , , , , , , , ,3.75,5, , ,3.75,0,4
42,1,5,5,5,5,5,5,5,5,7,7,7,1,1,1,2,0,1,1,1,0,0,7,7,7,5,7,7,1,5,1,5
35,1,5,5,5,5,5,5,5,5,7,7,7,1,0,1,2,2,0,0,0,0,2,6,6,6,5,7,6,1,5,1,5
28,1,5,5,5,3,5,5,4,5,7,7,7,0,1,1,2,0,1,1,1,0,0,7,7,7,4.625,7,7,1,4.625,1,5
39,1,4,5,4,4,5,5,2,5,7,7,7,1,1,1,0,0,1,0,1,2,0,6,6,6,4.25,7,6,1.25,4.25,1,4.5
29,1,5,5,5,2,5,5,2,5,6,6,6,1,1,1,0,0,1,1,1,0,0,7,7,7,4.25,6,7,1,4.25,1,5
26,1,4,5,4,2,4,4,2,4,6,6,6,0,0,1,0,0,1,0,0,0,0,7,7,7,3.625,6,7,1,3.625,1,4
27,0,5,4,4,2,4,4,2,4,5,5,5,1,1,1,2,0,1,0,0,0,0,4,4,4,3.625,5,4,1,3.625,1,4.25
29,1,5,5,5,5,5,5,1,5,6,6,6,1,1,1,2,2,1,1,0,0,0,6,6,6,4.5,6,6,1,4.5,1,5
36,0,4,4,4,3,4,4,3,5,5,4,4,1,1,1,2,0,1,1,0,0,0,5,5,5,3.875,4.33333333333333,5,1,3.875,1,4.25
33,1,5,5,5,5,5,5,2,5,6,6,6,0,1,1,2,0,1,0,0,0,0,6,6,6,4.625,6,6,1,4.625,1,5
26,1,4,4,3,3,5,4,4,5,6,4,6,1,1,1,2,2,1,1,0,0,0,4,4,4,4,5.33333333333333,4,1.25,4,1,4
34,1,5,5,5,4,5,5,2,5,7,6,6,1,1,1,2,0,1,0,0,0,0,6,6,6,4.5,6.33333333333333,6,1,4.5,1,5
30,0,4,4,4,2,4,4,3,4,6,6,6,1,1,1,2,2,0,1,1,0,2,6,6,5,3.625,6,5.66666666666667,1.5,3.625,1,4
33,1,5,5,5,1,5,5,1,5,4,4,4,1,1,1,2,2,1,0,0,0,0,6,6,6,4,4,6,1,4,1,5
