,Variable,Title,WVS7,WVS6,WVS5,WVS4,WVS3,WVS2,WVS1,
,A001,Important in life: Family,Q1,V4,V4,V4,V4,V5,,
,A002,Important in life: Friends,Q2,V5,V5,V5,V5,V6,,
,A003,Important in life: Leisure time,Q3,V6,V6,V6,V6,V7,,
,A004,Important in life: Politics,Q4,V7,V7,V7,V7,V8,,
,A005,Important in life: Work,Q5,V8,V8,V8,V8,V4,,
,A006,Important in life: Religion,Q6,V9,V9,V9,V9,V9,,
,A007,Important in life: Service to others,,,,V10,,,,
,A008,Feeling of happiness,Q46,V10,V10,V11,V10,V18,V10,
,A009,State of health (subjective),Q47,V11,V11,V12,V11,V83,V11,
,A010,Ever felt very excited or interested,,,,,,V84,,
,A011,Ever felt restless,,,,,,V85,,
,A012,Ever felt proud because someone complimented you,,,,,,V86,,
,A013,Ever felt very lonely or remote from other people,,,,,,V87,,
,A014,Ever felt pleased about having accomplished something,,,,,,V88,,
,A015,Ever felt bored,,,,,,V89,,
,A016,Ever felt on top of the world,,,,,,V90,,
,A017,Ever felt depressed or very unhappy,,,,,,V91,,
,A018,Ever felt that things were going your way,,,,,,V92,,
,A019,Ever felt upset because somebody criticized you,,,,,,V93,,
,A025,Respect and love for parents,,,,V13,V12,V224,V12,
,A026,Parents responsibilities to their children,,,,V14,V13,V225,V13,
,A027,Important child qualities: Good manners,Q7,,,IV15,V14,V226,V14,
,A029,Important child qualities: independence,Q8,V12,V12,V15,V15,V227,V15,
,A030,Important child qualities: Hard work,Q9,V13,V13,V16,V16,V228,V16,
,A032,Important child qualities: feeling of responsibility,Q10,V14,V14,V17,V17,V229,V17,
,A034,Important child qualities: imagination,Q11,V15,V15,V18,V18,V230,V18,
,A035,Important child qualities: tolerance and respect for other people,Q12,V16,V16,V19,V19,V231,V19,
,A038,Important child qualities: thrift saving money and things,Q13,V17,V17,V20,V20,V232,V20,
,A039,Important child qualities: determination perseverance,Q14,V18,V18,V21,V21,V233,V21,
,A040,Important child qualities: religious faith,Q15,V19,V19,V22,V22,V234,V22,
,A041,Important child qualities: unselfishness,Q16,V20,V20,V23,V23,V235,V23,
,A042,Important child qualities: obedience,Q17,V21,V21,V24,V24,V236,V24,
,A043B,Important child qualities: Self-expression,,V22,,,,,,
,A044,What children should learn 1,,,,,V25,,,
,A045,What children should learn 2,,,,,V26,,,
,A046,Abortion when the mothers health is at risk,,,,,,V237,,
,A047,Abortion when child physically handicapped,,,,,,V238,,
,A048,Abortion when woman not married,,,,,,V239,,
