country_code,year_survey,S006,unified_id,freewill,job_satisfaction,job_decision,fate,autonomy,job_pride,Sex,Age
USA,2011,1,8400620001,8,NA,NA,NA,3,NA,2,69
USA,2011,2,8400620002,10,NA,NA,NA,2,NA,2,40
USA,2011,3,8400620003,9,NA,NA,NA,1,NA,1,38
USA,2011,4,8400620004,7,NA,NA,NA,2,NA,2,61
USA,2011,5,8400620005,10,NA,NA,NA,3,NA,2,62
USA,2011,6,8400620006,5,NA,NA,NA,1,NA,1,49
USA,2011,7,8400620007,9,NA,NA,NA,2,NA,2,18
USA,2011,8,8400620008,7,NA,NA,NA,3,NA,2,53
USA,2011,9,8400620009,7,NA,NA,NA,3,NA,1,25
USA,2011,10,8400620010,6,NA,NA,NA,1,NA,2,23
USA,2011,11,8400620011,7,NA,NA,NA,2,NA,2,55
USA,2011,12,8400620012,8,NA,NA,NA,2,NA,2,38
USA,2011,13,8400620013,9,NA,NA,NA,2,NA,2,56
USA,2011,14,8400620014,9,NA,NA,NA,3,NA,2,68
USA,2011,15,8400620015,9,NA,NA,NA,2,NA,2,57
USA,2011,16,8400620016,10,NA,NA,NA,2,NA,2,73
USA,2011,17,8400620017,9,NA,NA,NA,1,NA,2,44
USA,2011,18,8400620018,7,NA,NA,NA,2,NA,1,76
USA,2011,19,8400620019,8,NA,NA,NA,NA,NA,2,55
USA,2011,20,8400620020,7,NA,NA,NA,3,NA,1,64
USA,2011,21,8400620021,5,NA,NA,NA,NA,NA,2,20
USA,2011,22,8400620022,9,NA,NA,NA,2,NA,2,37
USA,2011,23,8400620023,9,NA,NA,NA,4,NA,2,65
USA,2011,24,8400620024,NA,NA,NA,NA,NA,NA,1,42
USA,2011,25,8400620025,10,NA,NA,NA,3,NA,2,59
USA,2011,26,8400620026,NA,NA,NA,NA,2,NA,1,36
USA,2011,27,8400620027,7,NA,NA,NA,1,NA,1,31
USA,2011,28,8400620028,10,NA,NA,NA,1,NA,2,63
USA,2011,29,8400620029,8,NA,NA,NA,1,NA,1,66
USA,2011,30,8400620030,9,NA,NA,NA,2,NA,1,50
USA,2011,31,8400620031,10,NA,NA,NA,3,NA,1,79
USA,2011,32,8400620032,7,NA,NA,NA,2,NA,1,59
USA,2011,33,8400620033,9,NA,NA,NA,2,NA,1,37
USA,2011,34,8400620034,10,NA,NA,NA,1,NA,1,38
USA,2011,35,8400620035,10,NA,NA,NA,1,NA,2,46
USA,2011,36,8400620036,6,NA,NA,NA,2,NA,2,31
USA,2011,37,8400620037,6,NA,NA,NA,3,NA,2,32
USA,2011,38,8400620038,10,NA,NA,NA,1,NA,1,80
USA,2011,39,8400620039,8,NA,NA,NA,2,NA,1,22
USA,2011,40,8400620040,5,NA,NA,NA,2,NA,1,43
USA,2011,41,8400620041,9,NA,NA,NA,2,NA,1,33
USA,2011,42,8400620042,8,NA,NA,NA,2,NA,2,41
USA,2011,43,8400620043,9,NA,NA,NA,3,NA,1,66
USA,2011,44,8400620044,9,NA,NA,NA,3,NA,2,65
USA,2011,45,8400620045,9,NA,NA,NA,2,NA,2,51
USA,2011,46,8400620046,8,NA,NA,NA,NA,NA,1,43
USA,2011,47,8400620047,7,NA,NA,NA,1,NA,1,49
USA,2011,48,8400620048,7,NA,NA,NA,2,NA,1,48
USA,2011,49,8400620049,9,NA,NA,NA,2,NA,1,57
USA,2011,50,8400620050,10,NA,NA,NA,1,NA,2,21
USA,2011,51,8400620051,9,NA,NA,NA,2,NA,2,55
USA,2011,52,8400620052,7,NA,NA,NA,3,NA,2,55
USA,2011,53,8400620053,4,NA,NA,NA,2,NA,1,23
USA,2011,54,8400620054,9,NA,NA,NA,2,NA,2,42
USA,2011,55,8400620055,10,NA,NA,NA,4,NA,2,49
USA,2011,56,8400620056,6,NA,NA,NA,3,NA,2,25
USA,2011,57,8400620057,8,NA,NA,NA,2,NA,2,20
USA,2011,58,8400620058,6,NA,NA,NA,3,NA,2,55
USA,2011,59,8400620059,10,NA,NA,NA,2,NA,2,61
USA,2011,60,8400620060,8,NA,NA,NA,4,NA,1,81
USA,2011,61,8400620061,9,NA,NA,NA,2,NA,2,35
USA,2011,62,8400620062,10,NA,NA,NA,2,NA,2,71
USA,2011,63,8400620063,9,NA,NA,NA,2,NA,2,31
USA,2011,64,8400620064,9,NA,NA,NA,2,NA,1,59
USA,2011,65,8400620065,8,NA,NA,NA,NA,NA,2,34
USA,2011,66,8400620066,7,NA,NA,NA,4,NA,1,63
USA,2011,67,8400620067,8,NA,NA,NA,2,NA,2,20
USA,2011,68,8400620068,8,NA,NA,NA,2,NA,2,61
USA,2011,69,8400620069,7,NA,NA,NA,3,NA,2,21
USA,2011,70,8400620070,7,NA,NA,NA,1,NA,2,49
USA,2011,71,8400620071,8,NA,NA,NA,4,NA,1,32
USA,2011,72,8400620072,8,NA,NA,NA,2,NA,1,67
USA,2011,73,8400620073,5,NA,NA,NA,3,NA,1,39
USA,2011,74,8400620074,6,NA,NA,NA,2,NA,1,30
USA,2011,75,8400620075,10,NA,NA,NA,2,NA,2,29
USA,2011,76,8400620076,8,NA,NA,NA,3,NA,1,64
USA,2011,77,8400620077,5,NA,NA,NA,2,NA,2,56
USA,2011,78,8400620078,9,NA,NA,NA,4,NA,2,66
USA,2011,79,8400620079,5,NA,NA,NA,3,NA,1,43
USA,2011,80,8400620080,9,NA,NA,NA,3,NA,1,68
USA,2011,81,8400620081,9,NA,NA,NA,3,NA,2,33
USA,2011,82,8400620082,9,NA,NA,NA,2,NA,2,55
USA,2011,83,8400620083,8,NA,NA,NA,2,NA,2,25
USA,2011,84,8400620084,7,NA,NA,NA,3,NA,1,83
USA,2011,85,8400620085,8,NA,NA,NA,2,NA,2,46
USA,2011,86,8400620086,8,NA,NA,NA,1,NA,1,41
USA,2011,87,8400620087,8,NA,NA,NA,NA,NA,2,54
USA,2011,88,8400620088,7,NA,NA,NA,2,NA,1,64
USA,2011,89,8400620089,9,NA,NA,NA,3,NA,1,62
USA,2011,90,8400620090,6,NA,NA,NA,NA,NA,1,27
USA,2011,91,8400620091,7,NA,NA,NA,2,NA,1,27
USA,2011,92,8400620092,8,NA,NA,NA,3,NA,2,77
USA,2011,93,8400620093,7,NA,NA,NA,2,NA,1,48
USA,2011,94,8400620094,9,NA,NA,NA,4,NA,1,74
USA,2011,95,8400620095,6,NA,NA,NA,3,NA,2,23
USA,2011,96,8400620096,7,NA,NA,NA,1,NA,2,47
USA,2011,97,8400620097,10,NA,NA,NA,1,NA,2,66
USA,2011,98,8400620098,6,NA,NA,NA,3,NA,2,56
USA,2011,99,8400620099,7,NA,NA,NA,3,NA,2,47
USA,2011,100,8400620100,9,NA,NA,NA,3,NA,1,72
USA,2011,101,8400620101,10,NA,NA,NA,4,NA,1,29
USA,2011,102,8400620102,9,NA,NA,NA,2,NA,2,31
USA,2011,103,8400620103,7,NA,NA,NA,2,NA,1,18
USA,2011,104,8400620104,8,NA,NA,NA,2,NA,2,23
USA,2011,105,8400620105,8,NA,NA,NA,2,NA,1,49
USA,2011,106,8400620106,8,NA,NA,NA,1,NA,2,85
USA,2011,107,8400620107,1,NA,NA,NA,2,NA,1,25
USA,2011,108,8400620108,8,NA,NA,NA,3,NA,1,46
USA,2011,109,8400620109,8,NA,NA,NA,1,NA,2,48
USA,2011,110,8400620110,10,NA,NA,NA,2,NA,1,43
USA,2011,111,8400620111,10,NA,NA,NA,2,NA,1,74
USA,2011,112,8400620112,10,NA,NA,NA,1,NA,2,24
USA,2011,113,8400620113,9,NA,NA,NA,NA,NA,2,49
USA,2011,114,8400620114,5,NA,NA,NA,3,NA,1,56
USA,2011,115,8400620115,8,NA,NA,NA,2,NA,1,63
USA,2011,116,8400620116,8,NA,NA,NA,NA,NA,1,69
USA,2011,117,8400620117,8,NA,NA,NA,2,NA,2,19
USA,2011,118,8400620118,9,NA,NA,NA,1,NA,2,45
USA,2011,119,8400620119,6,NA,NA,NA,2,NA,1,73
USA,2011,120,8400620120,NA,NA,NA,NA,NA,NA,2,57
USA,2011,121,8400620121,7,NA,NA,NA,1,NA,1,33
USA,2011,122,8400620122,10,NA,NA,NA,2,NA,1,69
USA,2011,123,8400620123,8,NA,NA,NA,3,NA,1,64
USA,2011,124,8400620124,10,NA,NA,NA,2,NA,1,50
USA,2011,125,8400620125,9,NA,NA,NA,2,NA,2,40
USA,2011,126,8400620126,8,NA,NA,NA,3,NA,1,77
USA,2011,127,8400620127,7,NA,NA,NA,3,NA,2,54
USA,2011,128,8400620128,7,NA,NA,NA,1,NA,2,62
USA,2011,129,8400620129,8,NA,NA,NA,2,NA,1,74
USA,2011,130,8400620130,8,NA,NA,NA,2,NA,1,31
USA,2011,131,8400620131,8,NA,NA,NA,3,NA,2,50
USA,2011,132,8400620132,8,NA,NA,NA,1,NA,2,55
USA,2011,133,8400620133,8,NA,NA,NA,2,NA,2,54
USA,2011,134,8400620134,7,NA,NA,NA,3,NA,1,69
USA,2011,135,8400620135,10,NA,NA,NA,1,NA,2,49
USA,2011,136,8400620136,8,NA,NA,NA,3,NA,2,64
USA,2011,137,8400620137,7,NA,NA,NA,2,NA,1,79
USA,2011,138,8400620138,5,NA,NA,NA,2,NA,1,74
USA,2011,139,8400620139,8,NA,NA,NA,4,NA,2,82
USA,2011,140,8400620140,9,NA,NA,NA,2,NA,2,60
USA,2011,141,8400620141,9,NA,NA,NA,1,NA,1,21
USA,2011,142,8400620142,9,NA,NA,NA,2,NA,1,63
USA,2011,143,8400620143,9,NA,NA,NA,3,NA,2,70
USA,2011,144,8400620144,7,NA,NA,NA,NA,NA,2,41
USA,2011,145,8400620145,8,NA,NA,NA,3,NA,1,45
USA,2011,146,8400620146,9,NA,NA,NA,2,NA,1,21
USA,2011,147,8400620147,7,NA,NA,NA,2,NA,2,36
USA,2011,148,8400620148,9,NA,NA,NA,3,NA,2,72
USA,2011,149,8400620149,9,NA,NA,NA,2,NA,1,60
USA,2011,150,8400620150,7,NA,NA,NA,2,NA,2,66
USA,2011,151,8400620151,8,NA,NA,NA,2,NA,2,52
USA,2011,152,8400620152,9,NA,NA,NA,1,NA,2,48
USA,2011,153,8400620153,7,NA,NA,NA,2,NA,1,21
USA,2011,154,8400620154,9,NA,NA,NA,2,NA,2,64
USA,2011,155,8400620155,6,NA,NA,NA,2,NA,2,20
USA,2011,156,8400620156,6,NA,NA,NA,2,NA,2,47
USA,2011,157,8400620157,10,NA,NA,NA,2,NA,1,26
USA,2011,158,8400620158,10,NA,NA,NA,1,NA,2,31
USA,2011,159,8400620159,10,NA,NA,NA,1,NA,2,58
USA,2011,160,8400620160,6,NA,NA,NA,2,NA,1,38
USA,2011,161,8400620161,7,NA,NA,NA,3,NA,1,50
USA,2011,162,8400620162,8,NA,NA,NA,3,NA,1,58
USA,2011,163,8400620163,9,NA,NA,NA,2,NA,2,68
USA,2011,164,8400620164,NA,NA,NA,NA,NA,NA,1,25
USA,2011,165,8400620165,8,NA,NA,NA,2,NA,2,56
USA,2011,166,8400620166,8,NA,NA,NA,2,NA,1,37
USA,2011,167,8400620167,7,NA,NA,NA,2,NA,2,47
USA,2011,168,8400620168,6,NA,NA,NA,1,NA,1,53
USA,2011,169,8400620169,8,NA,NA,NA,3,NA,1,59
USA,2011,170,8400620170,9,NA,NA,NA,3,NA,1,54
USA,2011,171,8400620171,5,NA,NA,NA,NA,NA,2,52
USA,2011,172,8400620172,8,NA,NA,NA,1,NA,2,37
USA,2011,173,8400620173,7,NA,NA,NA,2,NA,2,57
USA,2011,174,8400620174,9,NA,NA,NA,2,NA,2,55
USA,2011,175,8400620175,6,NA,NA,NA,1,NA,1,22
USA,2011,176,8400620176,10,NA,NA,NA,4,NA,2,28
USA,2011,177,8400620177,9,NA,NA,NA,4,NA,2,72
USA,2011,178,8400620178,10,NA,NA,NA,2,NA,2,46
USA,2011,179,8400620179,8,NA,NA,NA,1,NA,2,25
USA,2011,180,8400620180,9,NA,NA,NA,4,NA,2,35
USA,2011,181,8400620181,10,NA,NA,NA,2,NA,2,50
USA,2011,182,8400620182,8,NA,NA,NA,1,NA,1,59
USA,2011,183,8400620183,10,NA,NA,NA,1,NA,1,41
USA,2011,184,8400620184,9,NA,NA,NA,3,NA,2,39
USA,2011,185,8400620185,10,NA,NA,NA,1,NA,1,69
USA,2011,186,8400620186,7,NA,NA,NA,4,NA,1,70
USA,2011,187,8400620187,7,NA,NA,NA,1,NA,2,71
USA,2011,188,8400620188,9,NA,NA,NA,2,NA,1,37
USA,2011,189,8400620189,8,NA,NA,NA,2,NA,2,49
USA,2011,190,8400620190,5,NA,NA,NA,4,NA,2,85
USA,2011,191,8400620191,7,NA,NA,NA,3,NA,1,73
USA,2011,192,8400620192,5,NA,NA,NA,3,NA,2,33
USA,2011,193,8400620193,7,NA,NA,NA,2,NA,2,29
USA,2011,194,8400620194,10,NA,NA,NA,2,NA,2,23
USA,2011,195,8400620195,6,NA,NA,NA,2,NA,1,38
USA,2011,196,8400620196,9,NA,NA,NA,3,NA,2,66
USA,2011,197,8400620197,7,NA,NA,NA,1,NA,1,50
USA,2011,198,8400620198,4,NA,NA,NA,2,NA,1,42
USA,2011,199,8400620199,8,NA,NA,NA,2,NA,2,27
USA,2011,200,8400620200,10,NA,NA,NA,1,NA,2,75
USA,2011,201,8400620201,10,NA,NA,NA,1,NA,2,22
USA,2011,202,8400620202,9,NA,NA,NA,1,NA,1,39
USA,2011,203,8400620203,7,NA,NA,NA,2,NA,1,21
USA,2011,204,8400620204,9,NA,NA,NA,1,NA,2,35
USA,2011,205,8400620205,7,NA,NA,NA,2,NA,1,70
USA,2011,206,8400620206,5,NA,NA,NA,2,NA,2,60
USA,2011,207,8400620207,10,NA,NA,NA,2,NA,2,70
USA,2011,208,8400620208,9,NA,NA,NA,2,NA,2,87
USA,2011,209,8400620209,8,NA,NA,NA,2,NA,1,52
USA,2011,210,8400620210,6,NA,NA,NA,2,NA,2,75
USA,2011,211,8400620211,8,NA,NA,NA,2,NA,2,65
USA,2011,212,8400620212,10,NA,NA,NA,2,NA,2,70
USA,2011,213,8400620213,7,NA,NA,NA,2,NA,2,23
USA,2011,214,8400620214,NA,NA,NA,NA,NA,NA,1,38
USA,2011,215,8400620215,8,NA,NA,NA,2,NA,1,58
USA,2011,216,8400620216,9,NA,NA,NA,1,NA,1,59
USA,2011,217,8400620217,10,NA,NA,NA,4,NA,1,26
USA,2011,218,8400620218,8,NA,NA,NA,3,NA,2,66
USA,2011,219,8400620219,7,NA,NA,NA,2,NA,2,62
USA,2011,220,8400620220,8,NA,NA,NA,2,NA,1,84
USA,2011,221,8400620221,9,NA,NA,NA,2,NA,1,44
USA,2011,222,8400620222,9,NA,NA,NA,1,NA,1,64
USA,2011,223,8400620223,7,NA,NA,NA,2,NA,2,56
USA,2011,224,8400620224,9,NA,NA,NA,2,NA,2,47
USA,2011,225,8400620225,8,NA,NA,NA,1,NA,2,52
USA,2011,226,8400620226,3,NA,NA,NA,2,NA,2,29
USA,2011,227,8400620227,9,NA,NA,NA,2,NA,2,70
USA,2011,228,8400620228,10,NA,NA,NA,4,NA,1,33
USA,2011,229,8400620229,10,NA,NA,NA,2,NA,2,70
USA,2011,230,8400620230,8,NA,NA,NA,2,NA,2,56
USA,2011,231,8400620231,9,NA,NA,NA,1,NA,1,57
USA,2011,232,8400620232,10,NA,NA,NA,NA,NA,1,37
USA,2011,233,8400620233,7,NA,NA,NA,3,NA,1,19
USA,2011,234,8400620234,8,NA,NA,NA,4,NA,2,38
USA,2011,235,8400620235,8,NA,NA,NA,1,NA,2,36
USA,2011,236,8400620236,8,NA,NA,NA,2,NA,2,31
USA,2011,237,8400620237,9,NA,NA,NA,3,NA,1,57
USA,2011,238,8400620238,10,NA,NA,NA,1,NA,2,62
USA,2011,239,8400620239,7,NA,NA,NA,1,NA,2,70
USA,2011,240,8400620240,9,NA,NA,NA,2,NA,1,28
USA,2011,241,8400620241,10,NA,NA,NA,4,NA,1,77
USA,2011,242,8400620242,10,NA,NA,NA,2,NA,2,33
USA,2011,243,8400620243,9,NA,NA,NA,3,NA,1,49
USA,2011,244,8400620244,8,NA,NA,NA,1,NA,2,83
USA,2011,245,8400620245,7,NA,NA,NA,4,NA,1,72
USA,2011,246,8400620246,8,NA,NA,NA,3,NA,2,64
USA,2011,247,8400620247,8,NA,NA,NA,2,NA,2,20
USA,2011,248,8400620248,8,NA,NA,NA,3,NA,1,73
USA,2011,249,8400620249,9,NA,NA,NA,1,NA,1,83
USA,2011,250,8400620250,7,NA,NA,NA,2,NA,2,58
USA,2011,251,8400620251,8,NA,NA,NA,2,NA,2,39
USA,2011,252,8400620252,5,NA,NA,NA,1,NA,1,67
USA,2011,253,8400620253,7,NA,NA,NA,3,NA,2,37
USA,2011,254,8400620254,8,NA,NA,NA,NA,NA,2,84
USA,2011,255,8400620255,8,NA,NA,NA,2,NA,1,71
USA,2011,256,8400620256,10,NA,NA,NA,2,NA,1,19
USA,2011,257,8400620257,6,NA,NA,NA,2,NA,2,67
USA,2011,258,8400620258,7,NA,NA,NA,2,NA,1,72
USA,2011,259,8400620259,8,NA,NA,NA,3,NA,1,71
USA,2011,260,8400620260,7,NA,NA,NA,2,NA,1,29
USA,2011,261,8400620261,9,NA,NA,NA,2,NA,2,27
USA,2011,262,8400620262,7,NA,NA,NA,2,NA,2,26
USA,2011,263,8400620263,10,NA,NA,NA,2,NA,2,68
USA,2011,264,8400620264,8,NA,NA,NA,2,NA,2,20
USA,2011,265,8400620265,9,NA,NA,NA,2,NA,1,53
USA,2011,266,8400620266,8,NA,NA,NA,2,NA,2,67
USA,2011,267,8400620267,1,NA,NA,NA,NA,NA,1,19
USA,2011,268,8400620268,9,NA,NA,NA,2,NA,1,56
USA,2011,269,8400620269,10,NA,NA,NA,3,NA,2,30
USA,2011,270,8400620270,8,NA,NA,NA,3,NA,1,38
USA,2011,271,8400620271,8,NA,NA,NA,2,NA,2,68
USA,2011,272,8400620272,10,NA,NA,NA,1,NA,2,58
USA,2011,273,8400620273,8,NA,NA,NA,2,NA,1,64
USA,2011,274,8400620274,6,NA,NA,NA,2,NA,1,51
USA,2011,275,8400620275,2,NA,NA,NA,2,NA,2,63
USA,2011,276,8400620276,9,NA,NA,NA,1,NA,1,23
USA,2011,277,8400620277,9,NA,NA,NA,2,NA,1,61
USA,2011,278,8400620278,8,NA,NA,NA,1,NA,1,58
USA,2011,279,8400620279,6,NA,NA,NA,2,NA,2,42
USA,2011,280,8400620280,3,NA,NA,NA,1,NA,1,47
USA,2011,281,8400620281,10,NA,NA,NA,1,NA,2,77
USA,2011,282,8400620282,5,NA,NA,NA,2,NA,2,66
USA,2011,283,8400620283,8,NA,NA,NA,1,NA,2,26
USA,2011,284,8400620284,9,NA,NA,NA,2,NA,1,42
USA,2011,285,8400620285,9,NA,NA,NA,2,NA,1,37
USA,2011,286,8400620286,8,NA,NA,NA,2,NA,1,74
USA,2011,287,8400620287,5,NA,NA,NA,3,NA,1,64
USA,2011,288,8400620288,9,NA,NA,NA,3,NA,1,43
USA,2011,289,8400620289,8,NA,NA,NA,1,NA,1,48
USA,2011,290,8400620290,10,NA,NA,NA,2,NA,2,75
USA,2011,291,8400620291,8,NA,NA,NA,2,NA,2,58
USA,2011,292,8400620292,8,NA,NA,NA,NA,NA,2,33
USA,2011,293,8400620293,8,NA,NA,NA,2,NA,1,83
USA,2011,294,8400620294,9,NA,NA,NA,2,NA,2,69
USA,2011,295,8400620295,7,NA,NA,NA,3,NA,1,50
USA,2011,296,8400620296,9,NA,NA,NA,2,NA,2,58
USA,2011,297,8400620297,5,NA,NA,NA,2,NA,2,65
USA,2011,298,8400620298,5,NA,NA,NA,NA,NA,2,68
USA,2011,299,8400620299,4,NA,NA,NA,4,NA,1,69
USA,2011,300,8400620300,7,NA,NA,NA,2,NA,2,45
USA,2011,301,8400620301,NA,NA,NA,NA,1,NA,1,70
USA,2011,302,8400620302,9,NA,NA,NA,2,NA,1,47
USA,2011,303,8400620303,6,NA,NA,NA,2,NA,2,49
USA,2011,304,8400620304,9,NA,NA,NA,2,NA,2,70
USA,2011,305,8400620305,9,NA,NA,NA,4,NA,1,61
